Region_Name
Вінницька_1
Волинська_2
Дніпропетровська_3
Донецька_4
Житомирська_5
Закарпатська_6
Запорізька_7
Івано-Франківська_8
Київська_9
Кіровоградська_10
Луганська_11
Львівська_12
Миколаївська_13
Одеська_14
Полтавська_15
Рівенська_16
Сумська_17
Тернопільська_18
Харківська_19
Херсонська_20
Хмельницька_21
Черкаська_22
Чернівецька_23
Чернігівська_24
Крим_25
